source_id,archive,path,size_bytes,crc32,sha256,extension,processed,notes
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5025-P600021.exb,496025,6fe61f96,450099a320706d0381310a1b0af65a8242826e66225f118e272654e87d973f5b,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6116-P611601.exb,1002440,f6d691c8,1e398c6a98755c2cbb98c7178039d9df32c970d4c6086332f71fc8c60dc1a331,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6100-P610002.exb,1013789,358e696b,9e02f06ae289c7b91dd0738122b3b8aee8e423c3226f4aabf2146bd46cddff55,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-P-G7065-P701064.exb,890406,aba847e7,2bff8dfbe1e2bc42db4d3f7dc57a8cf2597d980ebba82b17d1d64e983354c602,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6112-P611202.exb,924176,fd8daf15,6781dcabe80ca474f871da6bb7d789c352d4df1c7015afb37b9f3f4bda6d1689,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6047-P604702.exb,902684,4f4ec603,a81307a2b74a8fbbb9b06c09958f1fcf63ae1fb6da9ee2fe7fc3d8f385d9a20f,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5019-P600012.exb,265880,079cd4ad,871cae7e8e0c16c0cdea7bb18e408726a0c9d6dffef0b7cccd3369e442c2903d,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5026-P600021.exb,343962,0b9f57c4,e67b1de2814dfffe89db4909e80dd7962fa6dd35308e06365193b748a1055748,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6103-P610302.exb,989878,17505fb4,6939e29fcb0330b94b3547f975841a6fe2c0f28874bd57ff2058f540f08e5853,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5083-P600080.exb,843082,de1e1806,831859610fde138fa1edc5e85e2eba01f951407c46586bf64530887fced318d1,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5082-P600080.exb,142194,cc213243,e20d0cd1b5d6de19d3d9631d2921bbf4ba25374ff820cb9101f8a79609149aff,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P580047.exb,1051707,7908ec2c,73591b3d831ffc3593380da77d267203cd7853ad9835d856c6a88f13c8b7f3a7,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-P-G7155-P700259.exb,872175,be247f4f,f75eb88a72a5232e37f751629f87aa071902e89ec77bea7ee9526d1ad9bb041d,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P580009.exb,1115553,716831cf,b6a0e9f4a971a688c3a338d76602a76217afb72050e53a826d3c4b143d7de32f,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500046.exb,1130792,fcce9563,03d15204419bf346fca56fc5f88ce1f1b66cfdd437d4c1124ab0ef095945b9aa,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6043-P604301.exb,982313,5a028943,f27e3075cc4b96db85aa31b7bf291c5bf740765fb138330dc5bcd8dce9d68755,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500028.exb,1176548,7cf96f05,a46d401e1b20ee7ed36115f7a472a29717b05a62ea3958e8e047647c67377574,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500002.exb,870500,f4805eb0,1d6d73c2139b4f4760db94d343a163b235e4c3b875c2356e78200c5cb9c1e053,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6007-P600702.exb,822931,db0bf48e,b8d31306ba729dadb765ca07b143533caee5e1c900127c4a7ba0023f92b1cf9a,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500064.exb,1296663,2ace9372,af6badc4698bb9a67b2e4fcf1ea569b44eb90e8cd66028421a4db1ca73a563a7,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5014-P600007.exb,573848,1cc0b854,3cc0e405d1015abdda5832ae1b9a508fa55227a0a67cc61abe69710b2f88a1ef,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500001.exb,1066059,8feac752,f04c9f856dc57287d4f8496b4cfbe68e84a1dbda38ea7337d785fbf05b8a5e39,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P580023.exb,1212777,061f767f,9651b1e3c16c1fb48ac355113587c6985921dc4e0ec4eac50e1fbe56c0beac5f,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500037.exb,1039850,f19c883c,c806bab929edad9005dbc9dc10fe3ad6759b86224bc7fefa72dfc212e0ded761,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500021.exb,1094748,ffbe9566,d665708dbd88be0648c554db2abe08516fd3bfd82ff1601ab2c7ee8902335338,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6060-P606001.exb,971002,3a46715b,f334f745f11d18a3767657d747edf191e59804f50624ecba3c792e1e98c96b2d,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P500016-std.trs,10379,20100be5,2cee46cc17af6a1377b43e73fc7cf83b05bd942971db6116abcafccca9857b5c,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5026-P600021-std.trs,12145,7e62701b,f8af789cc293bb62ccccb9bf0fa8aa4532e6d37107001568d243b18bbee28e08,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P500037-std.trs,9039,88c1cc81,603ca35f2351a7d58e3308d6d4522d7351bcceaf9049367381cf5eabae7ec1e0,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P500042-pog.trs,7841,886fc589,c594c9977bd4bd4ada70a2b5ddeddc110fc83e680eec4220ce38ba24ac3ad7e0,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5019-P600012-pog.trs,9750,9b7764c1,f4d606333835b96ff9994469878c77ad4bc7b46813c9089f2743f35c29986294,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P500001-std.trs,10111,d1e0c257,f71a64024db0db53c6d84e0470fc9a4b2320d77aa22af538d01cce5446ce136b,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6001-P600102-pog.trs,7549,f3ede260,c3c833906e28559e62a3e3725f078b76979d8d42f1c972117e6cad0cb69e57d8,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P580023-pog.trs,12931,abe2c85d,29ed95c82cd51cb632823df551a946254a9a9cf6072f5653c737a8c59e6ae90e,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-P-G7155-P700259-pog.trs,10552,e290d978,520a1912019ed83e2cebad11dbe32e47da46767a4c489da17e639acb55db2158,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5025-P600021-std.trs,13894,691d303f,bc9667f0f31d61d983f4e27dfcbf0bff76ca1862a02cd1493d63677c9073be4a,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P500063-pog.trs,8801,2e99946f,5557e9018793f9eb4baee9b3ae1ec26c2f71e526f7420393e95b58be5a08bfe4,.trs,YES,parsed TRS turns source-faithfully
