TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,PRS-ID,SEX,AGE,1LANG,DIALECT,EDUCATION,PERM-RESD,CHILD-RESD,SENTENCES,WORDS
Rog-Go1-Gos245,Gos245,NZosljzupr-lr0906031349.wav,Gos,Bm-prij-02558,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,7,61
Rog-Go2-Gos246,Gos246,NZosmbdodr-mo0911021528.wav,Gos,Mm-star-07523,moški,30 do 59 let,slovenščina,-,višja ali visoka šola,podravska,-,27,494
Rog-Go2-Gos246,Gos246,NZosmbdodr-mo0911021528.wav,Gos,Am-soro-07522,moški,18 do 34 let,slovenščina,-,fakulteta ali več,podravska,-,27,356
Rog-Go1-Gos247,Gos247,NZosmbdodr-mo0911021552.wav,Gos,Df-star-07526,ženski,30 do 59 let,slovenščina,-,fakulteta ali več,podravska,-,10,195
Rog-Go1-Gos247,Gos247,NZosmbdodr-mo0911021552.wav,Gos,Pf-otro-07527,ženski,18 do 34 let,slovenščina,-,fakulteta ali več,podravska,-,3,12
Rog-Go1-Gos248,Gos248,NZosmbdodr-mo0911232226.wav,Gos,Mf-drug-07525,ženski,18 do 34 let,slovenščina,-,srednja šola,podravska,-,5,49
Rog-Go1-Gos248,Gos248,NZosmbdodr-mo0911232226.wav,Gos,Bf-ssta-07524,ženski,nad 60 let,slovenščina,-,višja ali visoka šola,"podravska, osrednjeslovenska",-,5,115
Rog-Go1-Gos249,Gos249,NZosmbdodr-rd1005060903.wav,Gos,Am-star-02268,moški,30 do 59 let,južnoslovanski jeziki,-,višja ali visoka šola,"tujina, podravska",-,8,320
Rog-Go1-Gos249,Gos249,NZosmbdodr-rd1005060903.wav,Gos,Bf-otro-02269,ženski,18 do 34 let,slovenščina,-,fakulteta ali več,podravska,-,3,10
Rog-Go1-Gos250,Gos250,NZosmbzudr-pv0908262121.wav,Gos,Bf-ssta-07520,ženski,nad 60 let,slovenščina,-,srednja šola,podravska,-,11,92
Rog-Go1-Gos250,Gos250,NZosmbzudr-pv0908262121.wav,Gos,Pf-vrst-07519,ženski,18 do 34 let,slovenščina,-,srednja šola,podravska,-,6,44
Rog-Go1-Gos251,Gos251,NZosmbzupr-mo0910301111.wav,Gos,Om-prij-07528,moški,18 do 34 let,slovenščina,-,srednja šola,podravska,-,5,55
Rog-Go1-Gos251,Gos251,NZosmbzupr-mo0910301111.wav,Gos,Sm-prij-07530,moški,18 do 34 let,slovenščina,-,srednja šola,podravska,-,2,15
Rog-Go1-Gos251,Gos251,NZosmbzupr-mo0910301111.wav,Gos,Mm-prij-07531,moški,18 do 34 let,slovenščina,-,srednja šola,podravska,-,5,24
Rog-Go1-Gos252,Gos252,NZosmbzupr-pv0908181918.wav,Gos,Af-vrst-07522,ženski,18 do 34 let,slovenščina,-,srednja šola,podravska,-,8,54
Rog-Go1-Gos252,Gos252,NZosmbzupr-pv0908181918.wav,Gos,Am-vrst-07523,moški,18 do 34 let,slovenščina,-,višja ali visoka šola,podravska,-,8,62
Rog-Go1-Gos253,Gos253,NZosmbzupr-rd1003301557.wav,Gos,Am-prij-02280,moški,30 do 59 let,slovenščina,-,višja ali visoka šola,"koroška, podravska",-,3,21
Rog-Go1-Gos253,Gos253,NZosmbzupr-rd1003301557.wav,Gos,Bm-prij-02281,moški,18 do 34 let,slovenščina,-,srednja šola,podravska,-,6,59
Rog-Go1-Gos253,Gos253,NZosmbzupr-rd1003301557.wav,Gos,Cm-prij-02282,moški,30 do 59 let,slovenščina,-,srednja šola,podravska,-,5,51
Rog-Go2-Gos254,Gos254,NZosmsstdo-jt0907061638.wav,Gos,If-prij-06008,ženski,18 do 34 let,slovenščina,-,srednja šola,pomurska,-,47,397
Rog-Go2-Gos254,Gos254,NZosmsstdo-jt0907061638.wav,Gos,Dm-prij-06009,moški,18 do 34 let,slovenščina,-,srednja šola,pomurska,-,35,291
Rog-Go2-Gos254,Gos254,NZosmsstdo-jt0907061638.wav,Gos,Mm-prij-06007,moški,18 do 34 let,slovenščina,-,srednja šola,pomurska,-,23,141
Rog-Go1-Gos255,Gos255,NZosmszudr-jt0907061634.wav,Gos,Sm-soro-10523,moški,nad 60 let,slovenščina,-,fakulteta ali več,pomurska,-,1,44
Rog-Go1-Gos255,Gos255,NZosmszudr-jt0907061634.wav,Gos,Tf-soro-10524,ženski,30 do 59 let,slovenščina,-,fakulteta ali več,pomurska,-,6,162
Rog-Go1-Gos255,Gos255,NZosmszudr-jt0907061634.wav,Gos,Jm-soro-05614,moški,18 do 34 let,slovenščina,-,srednja šola,pomurska,-,4,48
Rog-Go1-Gos256,Gos256,NZosnmdmso-tp0911282110.wav,Gos,Bf-sode-07099,ženski,30 do 59 let,slovenščina,-,srednja šola,jugovzhodna Slovenija,-,13,141
Rog-Go1-Gos256,Gos256,NZosnmdmso-tp0911282110.wav,Gos,Af-sode-07098,ženski,30 do 59 let,slovenščina,-,srednja šola,jugovzhodna Slovenija,-,7,38
Rog-Go2-Gos257,Gos257,NZosnmdopr-jg0909141900.wav,Gos,Af-prij-07149,ženski,30 do 59 let,slovenščina,-,srednja šola,jugovzhodna Slovenija,-,26,691
Rog-Go2-Gos257,Gos257,NZosnmdopr-jg0909141900.wav,Gos,Bm-prij-07150,moški,30 do 59 let,slovenščina,-,fakulteta ali več,"jugovzhodna Slovenija, osrednjeslovenska",-,9,57
Rog-Go2-Gos257,Gos257,NZosnmdopr-jg0909141900.wav,Gos,Cf-prij-07151,ženski,30 do 59 let,slovenščina,-,fakulteta ali več,"jugovzhodna Slovenija, osrednjeslovenska",-,12,68
Rog-Go1-Gos258,Gos258,NZosnmdopr-jg0909201830.wav,Gos,Am-prij-07167,moški,18 do 34 let,slovenščina,-,fakulteta ali več,"jugovzhodna Slovenija, osrednjeslovenska",-,7,130
Rog-Go1-Gos258,Gos258,NZosnmdopr-jg0909201830.wav,Gos,Bm-prij-07168,moški,18 do 34 let,slovenščina,-,srednja šola,"jugovzhodna Slovenija, osrednjeslovenska",-,6,46
Rog-Go1-Gos259,Gos259,NZosnndopr-ak0909102300.wav,Gos,Dm-prij-06581,moški,18 do 34 let,južnoslovanski jeziki,-,fakulteta ali več,"tujina, osrednjeslovenska",-,8,81
Rog-Go1-Gos259,Gos259,NZosnndopr-ak0909102300.wav,Gos,Im-prij-06580,moški,18 do 34 let,južnoslovanski jeziki,-,fakulteta ali več,"tujina, osrednjeslovenska",-,4,40
Rog-Go1-Gos260,Gos260,NZosnndopr-dp1009031512.wav,Gos,Dm-znan-07550,moški,18 do 34 let,slovenščina,-,srednja šola,"savinjska, podravska",-,10,105
Rog-Go1-Gos260,Gos260,NZosnndopr-dp1009031512.wav,Gos,Cf-znan-07540,ženski,18 do 34 let,drugi romanski jeziki,-,fakulteta ali več,"tujina, osrednjeslovenska, podravska",-,6,54
Rog-Go1-Gos261,Gos261,NZosnnzupr-sv1008201003.wav,Gos,Sf-znan-07534,ženski,18 do 34 let,slovenščina,-,višja ali visoka šola,"podravska, osrednjeslovenska",-,1,7
