source_id,source_utterance_id,segment_index,original_label,source_end_s,derived_start_s,derived_duration_s,absolute_start_s,absolute_end_s,normalized_ipa,annotation_provenance,upstream_blob_sha
pavoque,pavoque::spike0018,15,x,1.255,1.215,0.04,61.575,61.615,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,16,f,1.293858,1.255,0.038858,61.615,61.653858,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,17,E,1.35,1.293858,0.056142,61.653858,61.71,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,18,s,1.42,1.35,0.07,61.71,61.78,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,19,t,1.462648,1.42,0.042648,61.78,61.822648,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,20,h,1.52,1.462648,0.057352,61.822648,61.88,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,21,aI,1.625,1.52,0.105,61.88,61.985,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,22,t,1.689392,1.625,0.064392,61.985,62.049392,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,23,b,1.725,1.689392,0.035608,62.049392,62.085,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,24,I,1.775,1.725,0.05,62.085,62.135,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,25,s,1.847121,1.775,0.072121,62.135,62.207121,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,26,h,1.885,1.847121,0.037879,62.207121,62.245,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,27,i:6,2.145,1.885,0.26,62.245,62.505,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,28,_,2.455,2.145,0.31,62.505,62.815,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,1,H#,0.315,0,0.315,62.82,63.135,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,2,d,0.35,0.315,0.035,63.135,63.17,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,3,u:,0.425,0.35,0.075,63.17,63.245,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,4,v,0.457209,0.425,0.032209,63.245,63.277209,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,5,I,0.49,0.457209,0.032791,63.277209,63.31,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,6,l,0.535,0.49,0.045,63.31,63.355,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,7,s,0.5819,0.535,0.0469,63.355,63.4019,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,8,t,0.61,0.5819,0.0281,63.4019,63.43,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,9,m,0.675,0.61,0.065,63.43,63.495,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,10,I,0.715,0.675,0.04,63.495,63.535,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,11,C,0.775,0.715,0.06,63.535,63.595,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,12,f,0.829691,0.775,0.054691,63.595,63.649691,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,13,E,0.87,0.829691,0.040309,63.649691,63.69,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,14,6,0.93,0.87,0.06,63.69,63.75,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,15,t,0.965,0.93,0.035,63.75,63.785,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,16,I,1.005,0.965,0.04,63.785,63.825,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,17,C,1.08,1.005,0.075,63.825,63.9,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,18,s,1.121753,1.08,0.041753,63.9,63.941753,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,19,aU,1.24,1.121753,0.118247,63.941753,64.06,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,20,f,1.292715,1.24,0.052715,64.06,64.112715,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,21,g,1.327875,1.292715,0.03516,64.112715,64.147875,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,22,E,1.375,1.327875,0.047125,64.147875,64.195,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,23,R,1.439682,1.375,0.064682,64.195,64.259682,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,24,e:,1.63,1.439682,0.190318,64.259682,64.45,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,25,k,1.7,1.63,0.07,64.45,64.52,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,26,t,1.782342,1.7,0.082342,64.52,64.602342,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0019,27,_,2.045,1.782342,0.262658,64.602342,64.865,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
