source_id,source_utterance_id,segment_index,original_label,source_end_s,derived_start_s,derived_duration_s,absolute_start_s,absolute_end_s,normalized_ipa,annotation_provenance,upstream_blob_sha
pavoque,pavoque::spike0017,6,l,0.86,0.809603,0.050397,57.089603,57.14,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,7,aU,0.995507,0.86,0.135507,57.14,57.275507,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,8,b,1.055,0.995507,0.059493,57.275507,57.335,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,9,@,1.098681,1.055,0.043681,57.335,57.378681,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,10,d,1.148507,1.098681,0.049826,57.378681,57.428507,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,11,u:,1.232562,1.148507,0.084055,57.428507,57.512562,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,12,h,1.28722,1.232562,0.054658,57.512562,57.56722,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,13,a,1.33,1.28722,0.04278,57.56722,57.61,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,14,s,1.416187,1.33,0.086187,57.61,57.696187,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,15,t,1.484568,1.416187,0.068381,57.696187,57.764568,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,16,m,1.504622,1.484568,0.020054,57.764568,57.784622,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,17,i:,1.539014,1.504622,0.034392,57.784622,57.819014,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,18,6,1.57,1.539014,0.030986,57.819014,57.85,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,19,?,1.585,1.57,0.015,57.85,57.865,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,20,aI,1.665,1.585,0.08,57.865,57.945,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,21,n,1.715,1.665,0.05,57.945,57.995,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
