source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S2_INT_5,ccost_S2_INT_5,72.97,88.66,56.49,6.77,32.17,0.56,89.46,64.46,74.46,62.01,CCOST_metadata.csv source row 12
ccost_2026,ccost_2026::ccost_S2_INT_6,ccost_S2_INT_6,71.7,86.14,56.46,6.21,29.68,0.28,92.17,67.17,74.24,63.26,CCOST_metadata.csv source row 13
ccost_2026,ccost_2026::ccost_S2_INT_7,ccost_S2_INT_7,71.71,89.98,55.94,6.62,34.04,0.27,90.03,65.03,73.77,62.41,CCOST_metadata.csv source row 14
ccost_2026,ccost_2026::ccost_S2_INT_8,ccost_S2_INT_8,72.67,90.59,58.16,6.22,32.43,2.16,92.57,67.57,74.97,63.69,CCOST_metadata.csv source row 15
ccost_2026,ccost_2026::ccost_S2_INT_9,ccost_S2_INT_9,73.09,89.01,56.34,6.53,32.67,0.15,89.8,64.8,74.4,61.87,CCOST_metadata.csv source row 16
ccost_2026,ccost_2026::ccost_S2_WL_12,ccost_S2_WL_12,77.78,90.2,59.92,5.11,30.28,0.46,91.79,66.79,77.33,62.98,CCOST_metadata.csv source row 17
ccost_2026,ccost_2026::ccost_S2_WL_34,ccost_S2_WL_34,76.24,89.16,57.89,6.92,31.28,0.34,90.62,65.62,77.32,62.58,CCOST_metadata.csv source row 18
ccost_2026,ccost_2026::ccost_S2_ST_123,ccost_S2_ST_123,73.8,84.44,59.35,5.1,25.09,0.11,84.62,59.62,72.8,59.86,CCOST_metadata.csv source row 19
ccost_2026,ccost_2026::ccost_S3_INT_1,ccost_S3_INT_1,52.43,73.02,39.33,5.35,33.69,-13.26,73.34,48.34,54.51,45.26,CCOST_metadata.csv source row 20
ccost_2026,ccost_2026::ccost_S3_INT_2,ccost_S3_INT_2,52.55,65.84,40.5,4.95,25.34,-19.41,67.07,42.07,51.95,42.03,CCOST_metadata.csv source row 21
ccost_2026,ccost_2026::ccost_S3_INT_3,ccost_S3_INT_3,53.07,67.85,39.29,5.53,28.55,-18.2,68.65,43.65,53.23,42.97,CCOST_metadata.csv source row 22
ccost_2026,ccost_2026::ccost_S3_INT_4,ccost_S3_INT_4,53.6,67.22,39.34,5.37,27.88,-17.57,69.36,44.36,53.92,43.35,CCOST_metadata.csv source row 23
ccost_2026,ccost_2026::ccost_S3_INT_5,ccost_S3_INT_5,53.65,78.59,39.35,5.21,39.24,-3.15,84.19,59.19,61.65,51.99,CCOST_metadata.csv source row 24
ccost_2026,ccost_2026::ccost_S3_INT_6,ccost_S3_INT_6,53.36,69.36,39.5,5.7,29.86,-16.2,70.41,45.41,54.22,43.48,CCOST_metadata.csv source row 25
ccost_2026,ccost_2026::ccost_S3_WL_12,ccost_S3_WL_12,60.96,74.87,39.33,6.73,35.53,-10.43,85.74,60.74,65.83,45.71,CCOST_metadata.csv source row 26
ccost_2026,ccost_2026::ccost_S3_WL_34,ccost_S3_WL_34,61.58,81.69,39.65,6.71,42.04,-5.89,85.03,60.03,65.66,48.66,CCOST_metadata.csv source row 27
ccost_2026,ccost_2026::ccost_S3_ST_123,ccost_S3_ST_123,55.78,68.1,41.32,5.66,26.78,-16.7,82.49,57.49,60.72,48.69,CCOST_metadata.csv source row 28
ccost_2026,ccost_2026::ccost_S4_INT_1,ccost_S4_INT_1,71.43,86.49,47.32,6.81,39.17,-0.08,87.28,62.28,72.55,57.43,CCOST_metadata.csv source row 29
