source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S25_ST_3,ccost_S25_ST_3,62.15,81.4,43.47,5.64,37.93,-6.43,82.81,57.81,63.78,51.73,CCOST_metadata.csv source row 214
ccost_2026,ccost_2026::ccost_S26_INT_1,ccost_S26_INT_1,67.41,88.8,40.26,7.96,48.53,-0.07,89.49,64.49,71.89,57.15,CCOST_metadata.csv source row 215
ccost_2026,ccost_2026::ccost_S26_INT_2,ccost_S26_INT_2,68.09,87.66,40.1,7.67,47.56,-0.07,91.17,66.17,72.75,58.55,CCOST_metadata.csv source row 216
ccost_2026,ccost_2026::ccost_S26_INT_3,ccost_S26_INT_3,67.96,87.3,41.28,7.84,46.02,-0.08,89.52,64.52,71.99,56.96,CCOST_metadata.csv source row 217
ccost_2026,ccost_2026::ccost_S26_INT_4,ccost_S26_INT_4,69.69,87.89,42.81,7.36,45.08,-0.07,89.28,64.28,72.42,57.75,CCOST_metadata.csv source row 218
ccost_2026,ccost_2026::ccost_S26_INT_5,ccost_S26_INT_5,68.68,90.71,41.18,7.86,49.54,-0.06,90.72,65.72,72.75,57.96,CCOST_metadata.csv source row 219
ccost_2026,ccost_2026::ccost_S26_WL_1,ccost_S26_WL_1,67.85,83,43.27,6.67,39.72,-1.41,83.8,58.8,69.06,48.34,CCOST_metadata.csv source row 220
ccost_2026,ccost_2026::ccost_S26_WL_2,ccost_S26_WL_2,70.01,86.3,43.6,7.46,42.7,-0.45,87.85,62.85,72.3,51.38,CCOST_metadata.csv source row 221
ccost_2026,ccost_2026::ccost_S26_WL_3,ccost_S26_WL_3,67.56,83.51,38.54,9.07,44.97,-1.64,83.64,58.64,70.11,49.51,CCOST_metadata.csv source row 222
ccost_2026,ccost_2026::ccost_S26_WL_4,ccost_S26_WL_4,65.89,84.3,40.79,10.32,43.51,-0.7,85.51,60.51,71.11,51.62,CCOST_metadata.csv source row 223
ccost_2026,ccost_2026::ccost_S26_ST_1,ccost_S26_ST_1,67.01,82.76,45.3,6.69,37.46,-1.03,86.13,61.13,68.91,52.44,CCOST_metadata.csv source row 224
ccost_2026,ccost_2026::ccost_S26_ST_2,ccost_S26_ST_2,66.22,82.1,44.91,6.44,37.19,-1.22,85.44,60.44,68.15,51.62,CCOST_metadata.csv source row 225
ccost_2026,ccost_2026::ccost_S26_ST_3,ccost_S26_ST_3,65.84,81.76,44.55,6.51,37.21,-1.34,84.96,59.96,67.8,51.27,CCOST_metadata.csv source row 226
ccost_2026,ccost_2026::ccost_S27_INT_1,ccost_S27_INT_1,67.42,88.13,41.72,7.71,46.41,-0.06,89.21,64.21,71.56,57.79,CCOST_metadata.csv source row 227
ccost_2026,ccost_2026::ccost_S27_INT_2,ccost_S27_INT_2,67.09,87.95,41.51,7.68,46.44,-0.07,89.05,64.05,71.3,57.69,CCOST_metadata.csv source row 228
ccost_2026,ccost_2026::ccost_S27_INT_3,ccost_S27_INT_3,67.31,88.24,41.68,7.75,46.56,-0.05,89.36,64.36,71.55,57.63,CCOST_metadata.csv source row 229
ccost_2026,ccost_2026::ccost_S27_INT_4,ccost_S27_INT_4,67.18,87.71,41.45,7.69,46.26,-0.08,88.91,63.91,71.38,57.86,CCOST_metadata.csv source row 230
ccost_2026,ccost_2026::ccost_S27_INT_5,ccost_S27_INT_5,67.55,88.44,41.81,7.82,46.63,-0.04,89.55,64.55,71.76,57.92,CCOST_metadata.csv source row 231
ccost_2026,ccost_2026::ccost_S27_WL_1,ccost_S27_WL_1,69.11,84.91,43.12,6.84,41.79,-1.08,85.72,60.72,70.92,52.2,CCOST_metadata.csv source row 232
ccost_2026,ccost_2026::ccost_S27_WL_2,ccost_S27_WL_2,69.42,85.17,43.3,6.79,41.87,-1.02,85.94,60.94,71.16,52.26,CCOST_metadata.csv source row 233
