bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S31_WL_3,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,28.08,None,,B,A,,few, corrector guessed the intended word and changed all levels to match their guess,WL 3 times; ST 2 times,124.28,53.64,100,63.05,75.15,31.51,5.91,43.64,-7.82,77.48,52.48,63.4,35.32,Sep2022_1_b3_LT2_clean,Sep2022_1_LT2
ccost_S31_WL_4,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,27.16,None,,B,A,,few, corrector guessed the intended word and changed all levels to match their guess,WL 3 times; ST 2 times,127.78,51.86,105,61.1,78.08,30.44,6.42,47.64,-5.45,78.31,53.31,62.27,35.11,Sep2022_1_b4_LT2_clean,Sep2022_1_LT2
ccost_S31_WL_5,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,27.16,None,,B,A,,few, corrector guessed the intended word and changed all levels to match their guess,WL 3 times; ST 2 times,130.23,54.76,100,60.48,72.16,34.04,5.29,38.13,-10.75,76.77,51.77,60.83,33.67,Sep2022_1_b5_LT2_clean,Sep2022_1_LT2
ccost_S31_WL_6,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,26.98,None,,B,A,,few, corrector guessed the intended word and changed all levels to match their guess,WL 3 times; ST 2 times,129.31,52.32,106,59.64,74.34,31.69,6.39,42.65,-7.71,74.94,49.94,60.22,33.24,Sep2022_1_b6_LT2_clean,Sep2022_1_LT2
ccost_S31_ST_1,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,24.36,None,,,A,,few, corrector guessed the intended word and changed all levels to match their guess,WL 3 times; ST 2 times,61.43,42.33,100,57.8,73.9,30.58,9.3,43.32,-10.12,73.99,48.99,60.17,35.82,Sep2022_1_c1_LT2_clean,Sep2022_1_LT2
ccost_S31_ST_2,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,26.5,None,,,A,,few, corrector guessed the intended word and changed all levels to match their guess,WL 3 times; ST 2 times,60.66,43.63,100,62.3,75.1,31.71,9.21,43.39,-7.32,77.01,52.01,64.14,37.64,Sep2022_1_c2_LT2_clean,Sep2022_1_LT2
ccost_S32_INT_1,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,15.98,Near-Clip;,low level static noise and echo,,,,many,,,364.34,82.19,324,59.59,84.83,39.82,7.54,45.01,-1.83,88.26,63.26,68.71,52.73,Sep2022_1_a1_LT3,Sep2022_1_LT3
ccost_S32_INT_2,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,17.05,Near-Clip;,low level static noise and echo,,,,many,,,299.78,110.07,459,58.48,85.53,42.47,7.3,43.05,-1.43,92.01,67.01,71.97,54.93,Sep2022_1_a2_LT3,Sep2022_1_LT3
ccost_S32_INT_3,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,19.1,Clipping;,low level static noise and echo,,,,many,,,292.18,96.75,384,56.07,86.59,41.87,6.65,44.72,-0.57,94.35,69.35,73.89,54.79,Sep2022_1_a3_LT3,Sep2022_1_LT3
ccost_S32_INT_4,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,16.78,Near-Clip;,low level static noise and echo,,,,many,,,304.61,86.31,385,56.64,81.36,41.13,6.99,40.24,-1.13,91.4,66.4,70.85,54.08,Sep2022_1_a4_LT3,Sep2022_1_LT3
ccost_S32_INT_5,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,18.39,Clipping;,low level static noise and echo,,,,many,,,324.3,122.13,502,56.98,84.17,42.4,7.11,41.77,-0.86,92.24,67.24,72.36,53.97,Sep2022_1_a5_LT3,Sep2022_1_LT3
ccost_S32_INT_6,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,17.45,Clipping;,low level static noise and echo,,,,many,,,273.29,117.61,550,57.25,90.31,42.71,6.67,47.6,0.002,91.74,66.74,71.61,54.15,Sep2022_1_a6_LT3,Sep2022_1_LT3
ccost_S32_WL_1,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,19.8,None,low level static noise and echo; b2 is missing,B,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,107.46,44.78,100,52.22,66.16,37.95,4.69,28.21,-17.85,66.18,41.18,51.82,32.02,Sep2022_1_b1_LT3_clean,Sep2022_1_LT3
ccost_S32_WL_3,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,17.73,None,low level static noise and echo; b2 is missing,B,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,108.41,46.57,100,50.19,65.95,27.97,5.22,37.98,-19.58,65.98,40.98,50.36,32.63,Sep2022_1_b3_LT3_clean,Sep2022_1_LT3
ccost_S32_WL_4,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,17.35,None,low level static noise and echo; b2 is missing,B,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,127.1,46.12,106,49.31,63.73,32.79,4.54,30.95,-18.85,63.92,38.92,48.99,31.64,Sep2022_1_b4_LT3_clean,Sep2022_1_LT3
ccost_S32_ST_1,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,19.74,None,low level static noise and echo; b2 is missing,,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,50.39,33.36,100,52.57,68.45,30.12,7.46,38.33,-15.04,69.05,44.05,54.42,34.68,Sep2022_1_c1_LT3_clean,Sep2022_1_LT3
ccost_S32_ST_2,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,18.96,None,low level static noise and echo; b2 is missing,,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,44.34,30.41,100,51.16,67.07,30.65,7.21,36.43,-18.14,67.11,42.11,53.05,34.09,Sep2022_1_c2_LT3_clean,Sep2022_1_LT3
ccost_S32_ST_3,32,Male,1946,Saraburi,Greater BKK,1956,76,9,OM,172,F,B,16.37,None,low level static noise and echo; b2 is missing,,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,42.07,30.59,100,49.09,62.57,29.98,6.34,32.59,-20.8,63.05,38.05,49.75,33.38,Sep2022_1_c3_LT3_clean,Sep2022_1_LT3
ccost_S33_INT_1,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,22.28,None,,,,,many,,,300.41,137.83,503,55.13,78.94,27.79,11.62,51.15,-3.53,79.02,54.02,62.71,40.43,Sep2022_1_a1_LT4,Sep2022_1_LT4
ccost_S33_INT_2,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,21.76,None,,,,,many,,,348.37,160.73,653,56.64,79.37,27.85,10.52,51.52,-4.25,79.41,54.41,62.89,41.13,Sep2022_1_a2_LT4,Sep2022_1_LT4
ccost_S33_INT_3,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,20.97,None,,,,,many,,,281.51,100.17,424,53.71,77.13,27.39,10.59,49.74,-5.12,80.65,55.65,62.21,41.24,Sep2022_1_a3_LT4,Sep2022_1_LT4
ccost_S33_WL_1,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,32.07,None,,A,A,,many," corrector marked misread with asterisk but did not correct label in b1, b2",,129.06,51.43,100,58.27,72.57,29.61,9.55,42.95,-10.47,72.81,47.81,61.79,29.71,Sep2022_1_b1_LT4_clean,Sep2022_1_LT4
ccost_S33_WL_2,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,31.44,None,,A,A,,many," corrector marked misread with asterisk but did not correct label in b1, b2",,155.02,54.15,106,57.48,72.8,27.58,9.69,45.22,-10.69,73.26,48.26,61.53,30.09,Sep2022_1_b2_LT4_clean,Sep2022_1_LT4
