bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S21_WL_2,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,24.15,Clipping;,,A,A,,none,,,104.68,55.87,106,68.18,86.28,40.25,8.4,46.03,-0.02,87.49,62.49,71.58,47.43,Oct2020_2_b2_clean,Oct2020_2_I
ccost_S21_WL_3,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,23.76,Near-Clip;,,A,A,,none,,,101.26,64.05,100,65.58,83.24,34.7,10.97,48.54,-2.62,84.16,59.16,70.64,46.89,Oct2020_2_b3_clean,Oct2020_2_I
ccost_S21_WL_4,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,24.19,Clipping;,,A,A,,none,,,106.01,58.81,106,68.31,87.27,38.78,8.15,48.5,-0.09,87.99,62.99,71.76,47.57,Oct2020_2_b4_clean,Oct2020_2_I
ccost_S21_ST_1,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,18.43,None,,,A,,none,,,50.45,39.29,100,64.96,79.86,42.91,7.8,36.94,-7.12,80.17,55.17,67.04,48.6,Oct2020_2_c1,Oct2020_2_I
ccost_S21_ST_2,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,17.97,None,,,A,,none,,,49.55,37.83,100,62.99,78.16,41.61,7.95,36.55,-8.59,78.16,53.16,65.38,47.41,Oct2020_2_c2,Oct2020_2_I
ccost_S21_ST_3,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,16.45,None,,,A,,none,,,44.24,35.99,100,63.34,77.26,43.13,7.61,34.13,-7.86,78.13,53.13,65.12,48.68,Oct2020_2_c3_clean,Oct2020_2_I
ccost_S22_INT_1,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,14.02,Clipping;,,,,,none,,,294.98,176.57,672,61.72,81.13,38.47,7.67,42.66,0.008,82.76,57.76,65.38,51.36,Oct2020_3_a_1,Oct2020_3_I
ccost_S22_INT_2,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,14.79,Clipping;,,,,,none,,,256.73,151.5,610,63.42,85.46,38.96,7.91,46.5,-0.18,85.89,60.89,67.92,53.13,Oct2020_3_a_2,Oct2020_3_I
ccost_S22_INT_3,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,14.51,Clipping;,,,,,none,,,250.81,151.91,648,65.26,85.64,40.27,7.9,45.37,-0.19,92.75,67.75,73.15,58.64,Oct2020_3_a_3,Oct2020_3_I
ccost_S22_INT_4,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,12.93,Clipping;,,,,,none,,,289.32,168.16,650,63.31,91.21,41.52,6.73,49.68,-0.02,92.69,67.69,71.66,58.73,Oct2020_3_a_4,Oct2020_3_I
ccost_S22_INT_5,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,14.33,Clipping;,,,,,none,,,273.74,159.35,724,64.22,85.11,41.15,7.91,43.96,-0.2,87.85,62.85,69.71,55.38,Oct2020_3_a_5,Oct2020_3_I
ccost_S22_INT_6,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,15.8,Clipping;,,,,,none,,,210.86,92.56,357,62.76,90.01,38.57,8.33,51.44,-0.17,90.11,65.11,70.84,55.05,Oct2020_3_a_6,Oct2020_3_I
ccost_S22_WL_1,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,23.17,Clipping;,,A,A,,none,,,95.61,50.61,98,71.55,91.03,38.77,7.36,52.26,-0.02,91.06,66.06,73.86,50.69,Oct2020_3_b1_clean,Oct2020_3_I
ccost_S22_WL_2,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,25.99,Clipping;,,A,A,,none,,,112.16,55.65,105,70.2,85.69,41.96,8.85,43.73,0.01,85.78,60.78,72.39,46.4,Oct2020_3_b2_clean,Oct2020_3_I
ccost_S22_WL_3,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,23.87,Clipping;,,A,A,,none,,,105.19,51.87,100,72.81,88.74,45.95,6.36,42.8,0.03,91.47,66.47,74.49,50.61,Oct2020_3_b3_clean,Oct2020_3_I
ccost_S22_WL_4,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,25.1,Clipping;,,A,A,,none,,,109.37,53.85,106,72.66,85.66,41,7.33,44.66,0.02,86.46,61.46,73.42,48.32,Oct2020_3_b4_clean,Oct2020_3_I
ccost_S22_ST_1,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,18.67,Clipping;,,,A,,none,,,46.65,36.33,100,66.45,85.63,42.28,8.73,43.35,-0.43,88.6,63.6,70.62,51.96,Oct2020_3_c1,Oct2020_3_I
ccost_S22_ST_2,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,18.61,Clipping;,,,A,,none,,,44.4,36.59,100,67.76,83.97,44.28,8.38,39.69,-0.32,84,59,70.42,51.82,Oct2020_3_c2_clean,Oct2020_3_I
ccost_S22_ST_3,22,Male,1992,Pitsanulok,Northern,NA,28,16,YM,168,F,A,19.43,Clipping;,,,A,,none,,,42.97,35.02,100,68.5,89.96,42.39,8.8,47.57,-0.03,90.02,65.02,72.3,52.87,Oct2020_3_c3_clean,Oct2020_3_I
ccost_S23_INT_1,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,17.97,Clipping;,,,,,few,,,199.57,123.29,375,68.88,89.29,42.42,8.36,46.88,-0.005,89.31,64.31,72.24,54.27,Oct2020_4_a_1,Oct2020_4_I
