bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S35_WL_2,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,33.53,Clipping;,,C,A,,none,,WL 3 times,131.96,49.37,106,65.71,80.66,34.54,9.61,46.12,-0.8,82.02,57.02,69.52,35.99,Sep2022_2_b2_LT1,Sep2022_2_LT1
ccost_S35_WL_3,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,34.82,Near-Clip;,,C,A,,none,,WL 3 times,117.77,49.44,100,65.77,79.19,30.83,9.2,48.37,-2.36,79.51,54.51,67.71,32.89,Sep2022_2_b3_LT1,Sep2022_2_LT1
ccost_S35_WL_4,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,32.86,Clipping;,,C,A,,none,,WL 3 times,103.93,45.54,107,65.3,81.06,31.84,9.4,49.22,-0.49,81.13,56.13,67.95,35.09,Sep2022_2_b4_LT1,Sep2022_2_LT1
ccost_S35_WL_5,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,32.54,Clipping;,,C,A,,none,,WL 3 times,104.11,44.02,100,64.37,80.97,32.91,9.14,48.06,-0.56,81.01,56.01,67.19,34.66,Sep2022_2_b5_LT1,Sep2022_2_LT1
ccost_S35_WL_6,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,30.31,Clipping;,,C,A,,none,,WL 3 times,111.31,47.21,106,64.4,83,33.17,7.87,49.83,0.05,83.09,58.09,67,36.69,Sep2022_2_b6_LT1,Sep2022_2_LT1
ccost_S35_ST_1,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,26.23,None,,,A,,none,,,54.38,25.86,92,59.03,75.79,31.77,10.57,44.02,-4.87,76.11,51.11,63.03,36.8,Sep2022_2_c1_LT1,Sep2022_2_LT1
ccost_S35_ST_2,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,25.76,None,,,A,,none,,,46.9,25.7,100,60.12,76.42,33.96,9.89,42.45,-4.32,76.52,51.52,63.47,37.71,Sep2022_2_c2_LT1,Sep2022_2_LT1
ccost_S35_ST_3,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,27.64,Clipping;,,,A,,none,,,52.26,29.48,100,64.17,82.37,32.69,9.6,49.69,-0.34,82.38,57.38,67.67,40.03,Sep2022_2_c3_J,Sep2022_2_LT1
ccost_S36_INT_1,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,14.28,None,,,,,few,,,262.88,132.48,468,57.63,73.91,35.88,6.1,38.02,-7.61,75.54,50.54,58.79,44.51,Sep2022_2_a1_LT3,Sep2022_2_LT2
ccost_S36_INT_2,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,15.61,None,,,,,few,,,331.18,185.58,693,57.84,75.65,31.11,6.46,44.54,-9.02,76.12,51.12,59.47,43.86,Sep2022_2_a2_LT3,Sep2022_2_LT2
ccost_S36_INT_3,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,16.32,None,,,,,few,,,350.84,175.85,686,58.01,76.4,31.43,6.58,44.97,-9.51,77.19,52.19,59.83,43.52,Sep2022_2_a3_LT3,Sep2022_2_LT2
ccost_S36_WL_1,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,28.07,None,,B,A,,few, corrector guessed the intended tone and wrote it on the MAU level; corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times; ST 2 times,118.07,44.4,100,59.81,72.95,34.17,7.32,38.79,-8.63,73.4,48.4,60.7,32.63,Sep2022_2_b1_LT2,Sep2022_2_LT2
ccost_S36_WL_2,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,27.85,None,,B,A,,few, corrector guessed the intended tone and wrote it on the MAU level; corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times; ST 2 times,120.19,46.84,106,58.85,72.98,32.12,8.05,40.87,-9.88,73.38,48.38,60.54,32.7,Sep2022_2_b2_LT2,Sep2022_2_LT2
ccost_S36_WL_3,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,26.84,None,,B,A,,few, corrector guessed the intended tone and wrote it on the MAU level; corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times; ST 2 times,121.63,44.93,100,58.34,72.23,33.04,7.37,39.2,-9.93,72.3,47.3,59.26,32.42,Sep2022_2_b3_LT2,Sep2022_2_LT2
ccost_S36_WL_4,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,30.14,None,,B,A,,few, corrector guessed the intended tone and wrote it on the MAU level; corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times; ST 2 times,127.03,48.5,106,59.28,76.33,30.82,10.1,45.51,-4.11,92.86,67.86,70.19,40.05,Sep2022_2_b4_LT2,Sep2022_2_LT2
ccost_S36_WL_5,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,29.8,None,,B,A,,few, corrector guessed the intended tone and wrote it on the MAU level; corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times; ST 2 times,112.3,48.82,100,58.71,75.72,29.92,10.22,45.81,-7.69,76.56,51.56,62.67,32.87,Sep2022_2_b5_LT2,Sep2022_2_LT2
ccost_S36_WL_6,36,Male,1964,Uthai Thani,Northern,NA,58,-,MM,165,F,A,29,None,,B,A,,few, corrector guessed the intended tone and wrote it on the MAU level; corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times; ST 2 times,121.29,54.97,106,56.99,74.17,30.2,11.14,43.97,-8.24,74.44,49.44,61.61,32.61,Sep2022_2_b6_LT2,Sep2022_2_LT2
